name	SRR1944912_cds_rpm	SRR1944913_cds_rpm	SRR1944914_cds_rpm	SRR1944915_cds_rpm	SRR1944916_cds_rpm	SRR1944917_cds_rpm
NM_001179626.1	10469.18	9987.59	10200.56	8906.7	9163.53	9624.99
NM_001179627.1	3.05	3.48	4.71	3.44	3.47	3.28
NM_001179628.1	21.86	26.18	19.95	41.4	44.62	42.35
NM_001179629.1	23.31	24.2	25.51	24.43	24.81	22.68
NM_001179630.1	36.49	34.04	35.61	34.35	30.7	31.69
NM_001179631.2	39.17	46.14	44.11	37.26	35.75	37.07
NM_001179633.1	82.2	84.6	84.01	89.73	88.1	89.89
NM_001179634.1	87.99	92.86	78.46	86.42	74.92	80.23
NM_001179635.1	20.95	19.23	21.3	18.78	17.93	18.4
NM_001179636.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001179637.1	1.23	0.54	2.69	0.49	0.59	1.27
NM_001179638.1	12.32	14.04	15.24	17.28	15.55	16.76
NM_001179639.1	86.86	92.86	83.85	89.91	84.73	75.77
NM_001179640.1	22.61	22.35	19.28	29.5	31.49	25.95
NM_001179641.1	11.25	12.19	11.95	14.33	10.99	12.66
NM_001179643.1	131.45	132.27	142.18	151.37	156.04	156.64
NM_001179644.1	25.99	28.03	30.39	29.54	28.82	33.7
NM_001179645.1	17.9	18.96	21.63	23.5	22.58	23.59
NM_001179646.1	228.92	244.0	245.14	257.24	264.63	249.8
NM_001179647.1	1893.95	1840.4	1729.11	1881.36	1887.24	1851.71
NM_001179648.1	66.23	73.36	65.07	65.08	52.69	58.83
NM_001179650.1	19.67	15.94	19.61	13.01	16.84	15.48
NM_001179651.1	91.42	94.08	82.33	94.18	97.16	97.9
NM_001179652.1	2.04	2.53	1.68	2.73	2.58	3.1
NM_001179653.1	16.56	15.71	15.57	17.64	17.58	19.49
NM_001179654.1	29.9	33.9	27.7	36.38	33.18	34.15
NM_001179655.1	13.5	15.26	11.7	13.62	12.88	13.02
NM_001179656.1	6.64	7.54	6.23	6.13	5.69	6.47
NM_001179657.1	11.15	12.5	10.52	16.23	14.36	15.21
NM_001179658.1	19.4	22.17	21.89	22.62	21.34	22.49
NM_001179659.1	0.91	1.31	1.18	0.57	0.35	0.46
NM_001179660.1	33.38	38.73	41.5	45.59	44.37	43.8
NM_001179661.1	6.38	7.85	8.75	8.07	7.13	6.19
NM_001179662.1	116.01	133.8	119.37	217.55	234.08	218.47
NM_001179664.1	4.55	5.1	5.22	6.7	6.69	6.74
NM_001179665.1	37.89	38.33	38.39	40.17	40.41	35.88
NM_001179666.1	51.87	50.74	56.49	69.14	66.9	74.49
NM_001179667.2	63.12	66.13	70.8	66.14	59.57	66.12
NM_001179669.1	50.16	48.98	58.68	79.54	78.34	80.6
NM_001179670.1	166.87	174.79	212.56	168.92	174.56	189.33
NM_001179671.1	24.17	24.24	19.03	20.99	16.34	20.67
NM_001179672.1	30.97	31.1	29.88	38.18	35.55	33.06
NM_001179673.1	0.64	0.23	0.17	0.57	0.59	0.82
NM_001179674.1	10.4	10.34	8.59	8.47	8.62	7.38
NM_001179675.1	11.31	16.21	13.05	15.7	15.15	13.3
NM_001179676.1	30.65	28.26	32.49	24.96	25.95	25.86
NM_001179678.1	66.45	75.75	59.35	65.35	57.64	54.64
NM_001179679.1	32.26	32.14	36.62	33.55	33.18	34.88
NM_001179680.1	35.05	39.55	40.91	51.85	46.6	47.08
NM_001179682.1	17.36	19.59	15.07	16.18	14.41	15.48
NM_001179683.1	293.44	303.18	316.95	420.07	409.67	392.6
NM_001179685.1	15.38	20.36	16.58	15.79	15.65	14.12
NM_001179686.1	78.93	76.43	72.48	57.28	51.7	56.74
NM_001179687.1	6.38	5.55	6.48	5.86	7.13	6.74
NM_001179688.1	43.46	42.89	43.35	31.44	29.86	30.69
NM_001179690.1	6.7	7.18	9.09	9.44	9.76	7.83
NM_001179691.1	29.26	29.03	29.13	32.45	33.38	31.51
NM_001179692.1	81.77	90.74	86.37	122.05	119.34	124.86
NM_001179693.1	168.15	177.82	164.75	196.57	193.62	179.31
NM_001179694.1	47.69	45.32	46.13	55.03	52.09	52.09
NM_001179695.2	37.08	42.48	47.31	40.57	38.87	38.07
NM_001179696.1	22.56	24.42	23.49	28.4	27.68	29.87
NM_001179698.1	0.48	0.72	0.51	0.71	1.04	1.37
NM_001179699.2	1.23	1.94	1.26	2.12	1.54	3.01
NM_001179700.2	14.52	18.1	14.06	19.36	16.14	15.3
NM_001179701.1	35.47	38.33	41.25	48.46	46.7	48.72
NM_001179703.1	13.77	15.62	17.17	17.55	15.55	19.49
NM_001179704.1	14.36	17.15	16.67	19.31	18.42	15.48
NM_001179705.1	16.18	18.01	18.44	18.25	17.53	16.12
NM_001179706.1	23.95	26.5	29.04	20.55	21.44	20.49
NM_001179707.1	46.41	52.14	51.69	60.5	63.73	59.19
NM_001179708.1	73.95	74.13	72.65	120.86	109.24	111.65
NM_001179709.1	59.96	66.81	68.61	61.82	55.26	57.56
NM_001179710.1	17.95	22.75	27.28	23.46	23.97	23.86
NM_001179711.1	216.01	221.7	208.86	371.22	319.99	368.74
NM_001179712.1	44.48	44.47	40.66	52.07	51.05	51.64
NM_001179714.1	24.49	26.82	26.52	27.12	28.37	28.41
NM_001179715.1	9.06	8.22	8.59	10.45	10.35	11.66
NM_001179716.1	28.19	29.21	30.81	48.55	51.3	45.35
NM_001179717.1	13.18	15.26	17.26	16.49	15.15	15.66
NM_001179718.1	4793.55	4580.82	4675.66	4809.8	4733.47	4637.14
NM_001179720.1	23.74	22.98	26.43	23.06	22.04	22.68
NM_001179721.1	14.74	12.96	13.89	17.42	18.52	17.85
NM_001179722.1	305.66	285.49	277.21	257.33	290.04	265.65
NM_001179723.2	220.45	231.63	228.22	160.76	166.53	163.1
NM_001179725.1	5.68	8.17	6.9	6.88	7.33	8.01
NM_001179726.1	34.51	31.87	33.25	44.36	42.24	38.7
NM_001179727.1	0.48	0.14	0.51	2.43	2.82	1.73
NM_001179728.1	2.79	3.39	3.03	3.17	3.42	4.83
NM_001179729.1	103.58	106.27	92.35	86.69	72.94	92.16
NM_001179730.1	756.64	812.49	661.17	713.2	657.52	699.77
NM_001179731.1	62.37	77.74	71.47	73.15	67.2	66.3
NM_001179732.1	26.04	26.45	30.56	31.92	28.52	29.23
NM_001179733.1	15.7	15.35	15.74	18.92	20.4	18.3
NM_001179734.1	12.0	11.69	12.88	14.33	13.96	16.03
NM_001179736.1	16.77	15.26	15.49	16.4	14.26	18.12
NM_001179737.1	5.14	5.51	6.82	7.32	6.14	5.19
NM_001179738.1	143.24	154.66	148.33	153.18	152.12	136.06
NM_001179739.1	30.06	35.03	32.24	35.67	34.07	33.6
NM_001179740.1	26.1	29.3	31.4	31.0	27.63	31.51
NM_001179741.1	63.77	60.22	62.97	66.01	67.3	76.68
NM_001179742.1	11.63	9.75	11.36	10.41	11.34	10.84
NM_001179744.1	1.61	2.26	2.02	1.32	1.29	2.28
NM_001179745.1	34.08	38.01	33.25	40.12	36.55	33.33
NM_001179746.1	1689.14	1732.42	1563.77	1691.67	1667.72	1542.62
NM_001179747.1	174.8	169.51	188.23	178.75	179.61	182.87
NM_001179748.1	2126.73	2151.17	2096.82	2057.25	1858.12	2117.54
NM_001179749.1	18.06	18.69	17.34	20.55	23.13	22.4
NM_001179750.1	114.84	120.17	112.3	147.05	140.34	136.06
NM_001179751.1	64.25	67.35	57.5	68.43	65.17	68.12
NM_001179752.1	24.06	22.75	25.09	31.66	33.72	30.33
NM_001179753.1	1.13	0.41	0.51	0.71	0.4	0.27
NM_001179754.1	0.59	1.08	1.52	1.46	1.14	1.27
NM_001179755.1	9.91	9.12	10.86	11.73	14.16	12.02
NM_001179756.1	35.42	33.54	39.14	43.96	42.88	41.53
NM_001179757.1	60.12	58.01	55.73	68.26	68.53	72.76
NM_001179758.1	124.05	117.06	111.79	134.04	141.43	125.49
NM_001179759.1	23.42	27.36	25.51	28.26	28.77	27.59
NM_001179760.1	7.88	8.35	9.18	7.94	8.17	10.2
NM_001179761.1	51.12	57.24	60.86	64.02	58.33	74.49
NM_001179762.1	79.68	87.89	86.79	111.29	104.09	102.91
NM_001179763.1	18.59	17.74	20.46	23.63	20.4	21.13
NM_001179764.2	11.79	11.24	11.45	9.35	9.21	10.84
NM_001179766.1	4.72	6.55	5.56	6.0	5.05	7.1
NM_001179768.1	37.19	38.6	40.16	42.24	40.01	41.89
NM_001179769.1	77.0	83.06	73.74	88.19	82.65	84.42
NM_001179770.1	55.94	61.44	62.46	69.45	64.62	66.75
NM_001179771.1	20.26	19.82	24.75	31.75	29.66	29.69
NM_001179772.1	58.57	56.65	62.88	70.28	64.03	70.58
NM_001179773.1	6.27	6.14	6.99	7.54	7.82	6.28
NM_001179774.1	119.98	132.81	142.35	137.31	126.27	137.51
NM_001179775.1	698.87	740.49	717.49	1122.7	1061.1	1080.26
NM_001179776.1	84.88	89.93	87.3	86.42	88.89	91.07
NM_001179777.1	222.86	231.99	225.95	210.1	215.16	204.91
NM_001179778.1	50.1	55.93	53.54	64.6	59.82	64.48
NM_001179779.1	27.44	30.34	27.53	31.48	32.78	32.69
NM_001179780.1	65.32	66.04	71.05	66.89	56.75	61.11
NM_001179781.1	441.17	403.81	390.19	265.84	273.05	258.09
NM_001179782.1	0.54	1.17	0.84	0.93	0.94	0.91
NM_001179783.1	6.75	6.23	8.42	7.89	7.03	7.29
NM_001179784.1	13.77	14.27	15.57	17.06	17.58	18.49
NM_001179785.1	8.73	5.28	3.87	6.53	3.71	3.19
NM_001179786.2	0.05	0.09	0.0	0.35	0.1	0.18
NM_001179787.1	1.93	1.13	1.85	0.97	1.09	1.18
NM_001179789.1	0.0	0.05	0.0	0.04	0.05	0.09
NM_001179791.1	295.15	312.35	294.39	297.1	262.01	270.02
NM_001179792.3	31.13	35.48	33.93	39.6	41.1	40.16
NM_001179793.1	34.46	36.39	37.12	30.12	30.9	33.06
NM_001179794.3	4.61	5.6	5.64	3.7	4.85	4.74
NM_001179795.1	0.64	0.54	0.93	0.26	0.35	0.27
NM_001179796.3	29.2	30.34	27.78	36.29	33.48	35.88
NM_001179797.1	8.25	10.02	11.03	10.41	10.99	11.11
NM_001179798.4	53.53	58.51	57.33	63.8	60.86	54.64
NM_001179799.1	2.25	3.97	3.87	4.81	3.17	4.28
NM_001179800.3	17.04	17.43	16.42	18.25	15.9	17.21
NM_001179801.1	25.61	26.27	26.01	31.88	31.79	24.59
NM_001179803.3	156.26	171.32	138.4	172.32	181.09	164.83
NM_001179804.1	46.24	48.62	56.82	46.52	48.18	43.26
NM_001179805.3	0.0	0.05	0.0	0.0	0.05	0.0
NM_001179806.1	25.29	28.67	23.74	19.49	19.66	19.67
NM_001179807.3	3.43	4.42	5.98	4.85	4.9	4.92
NM_001179808.1	89.38	86.72	89.82	140.74	125.23	146.44
NM_001179809.3	9.06	9.53	8.67	9.74	11.34	10.02
NM_001179810.1	9.11	10.07	10.1	11.55	11.24	11.75
NM_001179811.4	12.97	13.45	9.85	14.46	12.08	15.48
NM_001179812.1	6.97	6.55	6.15	7.1	7.48	6.65
NM_001179813.3	15.75	16.93	16.42	17.9	15.55	17.03
NM_001179814.1	42.12	47.76	49.67	51.85	53.13	54.0
NM_001179815.3	41.26	42.52	38.56	51.02	51.25	45.9
NM_001179816.1	44.42	45.87	49.58	43.7	43.78	45.35
NM_001179817.3	12.7	12.23	16.67	16.67	16.64	14.94
NM_001179818.2	45.87	44.42	42.76	52.21	49.62	49.36
NM_001179819.3	28.4	30.38	24.58	32.36	27.83	29.6
NM_001179820.1	18.27	20.09	22.06	26.94	26.64	27.5
NM_001179821.3	26.26	25.78	29.63	29.23	30.31	29.69
NM_001179824.1	0.0	0.05	0.08	0.09	0.1	0.09
NM_001179826.2	9.38	9.57	10.1	11.77	11.98	11.93
NM_001179827.3	10.23	8.85	10.02	8.95	9.21	10.2
NM_001179828.1	35.47	37.11	35.53	41.8	42.14	39.71
NM_001179829.3	9.65	7.45	8.75	9.39	9.56	10.84
NM_001179831.1	1.18	0.9	1.43	1.59	1.58	1.0
NM_001179832.3	994.61	996.18	838.88	886.58	875.85	923.8
NM_001179833.1	148.27	141.75	143.62	163.1	170.99	160.65
NM_001179834.3	6.27	6.55	5.47	5.03	5.74	6.37
NM_001179835.1	9.7	10.11	7.07	7.72	6.98	7.19
NM_001179836.3	12.91	9.71	11.28	14.46	15.2	16.3
NM_001179838.1	147.09	151.05	137.64	217.2	207.44	204.72
NM_001179839.3	6.64	5.15	7.07	7.94	8.02	8.47
NM_001179840.1	0.8	0.59	1.09	0.66	0.69	1.0
NM_001179841.3	3.7	4.79	5.64	6.13	5.94	5.92
NM_001179842.1	21.33	21.89	20.04	34.0	32.29	33.88
NM_001179843.3	0.8	0.77	0.76	0.31	0.79	0.55
NM_001179844.1	21.81	21.44	24.83	24.87	21.54	24.13
NM_001179845.3	11.84	11.92	13.3	11.73	10.25	12.75
NM_001179846.1	83.54	80.85	87.72	101.77	104.24	101.18
NM_001179847.3	642.87	547.23	463.42	496.27	517.13	455.44
NM_001179848.1	1.34	1.26	0.67	1.5	1.54	1.09
NM_001179849.3	2398.52	2326.19	2270.15	2304.04	2301.76	2288.66
NM_001179850.1	23.85	25.87	24.41	22.36	25.4	20.22
NM_001179851.3	1.29	2.21	1.94	1.5	2.03	2.19
NM_001179852.1	38.37	41.85	41.67	51.5	44.52	43.53
NM_001179853.3	9.54	10.88	9.77	10.32	10.94	9.93
NM_001179854.1	9.7	8.67	11.28	10.8	11.69	8.92
NM_001179855.3	54.77	55.66	52.11	45.9	45.21	45.53
NM_001179856.1	55.94	62.79	57.83	74.74	74.72	85.42
NM_001179857.3	31.62	33.23	34.77	40.57	38.63	39.98
NM_001179858.1	22.24	23.56	26.35	35.8	27.43	31.97
NM_001179859.3	2.14	2.26	1.94	3.31	2.38	2.82
NM_001179860.1	34.19	37.42	43.1	44.23	43.23	49.63
NM_001179861.3	92.76	99.36	94.54	121.87	116.12	109.28
NM_001179862.1	45.44	51.46	45.37	57.45	49.27	59.19
NM_001179864.3	41.74	39.27	38.13	36.6	44.32	36.15
NM_001179865.1	5.47	5.55	5.64	7.32	7.92	8.92
NM_001179866.3	4.61	4.97	6.65	7.58	7.03	9.93
NM_001179867.1	18.97	19.55	15.74	19.89	20.7	21.67
NM_001179868.3	8.2	8.44	6.65	8.91	7.48	8.2
NM_001179869.1	23.31	23.66	24.83	26.54	24.17	25.04
NM_001179870.3	52.14	49.93	43.27	70.55	74.97	58.74
NM_001179871.1	115.42	113.45	130.15	122.31	121.22	123.94
NM_001179872.3	75.99	79.32	88.48	91.98	99.04	97.53
NM_001179873.1	6.16	6.82	5.98	7.72	8.22	6.37
NM_001179874.3	69.55	68.12	82.67	91.54	95.03	86.42
NM_001179875.1	23.04	24.65	24.92	28.35	26.44	34.15
NM_001179876.3	15.97	15.12	13.55	17.99	19.91	21.49
NM_001179877.1	16.34	17.65	17.34	21.47	20.6	16.76
NM_001179878.3	30.12	33.32	33.25	31.22	33.97	37.16
NM_001179879.1	20.68	24.06	28.79	27.16	28.18	25.14
NM_001179880.4	32.47	35.89	27.44	34.3	30.21	32.69
NM_001179881.1	3.97	4.38	2.69	6.26	4.51	4.37
NM_001179882.3	248.43	256.19	195.22	286.43	263.69	259.09
NM_001179883.1	188.41	234.25	199.26	239.65	237.94	241.06
NM_001179884.3	1727.14	1649.4	1360.22	1612.39	1710.5	1256.39
NM_001179885.1	69.07	73.36	83.51	51.54	43.28	37.7
NM_001179886.1	21.49	22.71	21.8	22.09	19.76	20.04
NM_001179887.3	0.7	0.59	1.43	0.93	1.04	0.91
NM_001179888.1	2.41	3.16	3.2	2.03	2.38	3.1
NM_001179889.3	20.31	18.82	20.46	16.71	15.65	17.67
NM_001179890.1	15.38	16.61	15.49	17.33	17.88	17.94
NM_001179891.3	5.79	6.64	7.41	6.26	6.49	6.47
NM_001179892.1	0.21	0.0	0.08	0.04	0.05	0.18
NM_001179893.3	0.32	0.0	0.34	0.13	0.1	0.46
NM_001179894.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001179895.3	0.16	0.14	0.17	0.18	0.25	0.36
NM_001179896.1	0.48	0.77	0.59	1.76	1.14	2.37
NM_001179897.1	0.27	0.14	0.17	0.09	0.0	0.09
NM_001179899.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001179900.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001179901.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001179902.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001179903.1	0.11	0.18	0.08	0.09	0.0	0.18
NM_001179905.1	19.08	21.35	18.52	22.53	22.28	20.31
NM_001179906.1	0.05	0.14	0.08	0.4	0.4	0.09
NM_001179907.1	2.79	1.81	0.84	2.07	1.88	1.27
NM_001179908.1	3.43	4.56	4.46	5.29	5.84	7.47
NM_001179909.1	0.43	0.32	0.93	0.75	1.49	1.09
NM_001179912.1	0.48	0.99	1.26	0.84	0.84	1.0
NM_001179913.1	3.11	3.57	3.2	3.09	2.67	3.19
NM_001179914.1	0.11	0.09	0.0	0.18	0.1	0.36
NM_001179915.1	0.27	0.14	0.34	0.62	0.4	0.18
NM_001179916.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001179917.1	1.13	0.41	0.42	0.66	0.84	0.46
NM_001179918.1	20.36	22.62	19.78	26.68	25.5	25.5
NM_001179919.1	86.33	94.21	80.48	113.67	112.41	105.09
NM_001179920.1	18.76	23.02	27.78	26.98	25.7	27.96
NM_001179921.1	10.45	10.52	12.71	11.38	12.43	9.29
NM_001179922.1	461.22	467.73	437.83	374.31	371.35	327.94
NM_001179923.1	21.22	20.72	25.51	33.55	31.89	32.97
NM_001179924.1	19.4	16.43	17.93	20.64	19.06	24.68
NM_001179925.1	68.97	71.15	61.79	89.46	89.48	97.26
NM_001179926.1	0.05	0.0	0.0	0.0	0.0	0.0
NM_001179927.1	2087.45	2034.47	2056.58	1854.95	1907.69	1955.62
NM_001179928.1	180.26	170.33	179.81	189.07	195.7	200.72
NM_001179929.1	279.51	268.87	290.43	253.27	252.4	272.21
NM_001179930.1	40.78	48.17	44.45	50.71	51.8	55.28
NM_001179931.1	19.99	21.94	21.97	30.34	29.22	26.87
NM_001179932.2	25.51	26.86	22.65	30.64	26.25	27.68
NM_001179933.1	23.1	25.51	19.61	29.81	29.76	36.34
NM_001179935.1	4.55	4.6	4.97	3.4	3.71	3.64
NM_001179936.1	1.13	0.81	0.93	0.88	0.84	1.09
NM_001179937.1	11.09	9.34	12.71	14.2	14.71	14.02
NM_001179938.1	19.99	19.32	22.14	28.04	26.79	28.96
NM_001179939.1	6.48	7.36	8.25	10.45	9.16	10.47
NM_001179940.2	202.18	227.93	225.19	285.06	282.31	294.15
NM_001179941.1	18.22	21.13	19.78	18.96	17.78	16.67
NM_001179942.1	15.81	18.46	19.03	21.56	17.93	17.58
NM_001179943.1	36.01	40.45	36.45	51.68	42.54	46.99
NM_001179944.2	353.24	356.45	353.06	309.75	303.85	307.08
NM_001179945.1	14.09	14.54	14.56	16.49	17.03	18.76
NM_001179946.1	0.05	0.09	0.42	0.26	0.4	0.27
NM_001179948.1	173.62	186.17	193.79	244.5	232.54	221.57
NM_001179949.1	18.33	20.99	22.39	21.43	18.57	23.22
NM_001179950.1	43.3	46.45	52.53	63.23	66.16	60.47
NM_001179952.1	6.97	3.39	3.37	14.42	15.1	15.94
NM_001179953.1	33.38	34.85	30.47	42.15	35.46	37.7
NM_001179954.1	0.11	0.32	0.34	0.31	0.4	0.18
NM_001179955.1	0.16	0.05	0.42	0.22	0.25	0.09
NM_001179956.1	167.35	162.34	173.58	125.93	129.44	139.52
NM_001179957.1	44.91	53.31	43.1	55.2	46.75	56.1
NM_001179958.1	43.89	52.91	45.88	51.59	42.69	41.98
NM_001179959.1	102.99	111.23	122.32	115.79	116.87	122.12
NM_001179961.1	96.62	107.26	103.71	135.72	132.51	127.68
NM_001179962.1	216.27	232.08	233.27	219.94	200.85	177.68
NM_001179963.1	1.02	0.68	0.84	0.49	1.39	1.0
NM_001179964.1	30.97	30.02	33.34	32.23	30.8	32.24
NM_001179965.1	19.67	20.5	21.72	21.21	23.47	21.22
NM_001179966.1	36.39	41.8	43.61	34.83	33.18	28.78
NM_001179967.1	66.18	72.45	67.68	87.7	84.78	85.15
NM_001179968.1	18.49	16.3	20.29	24.65	24.56	28.14
NM_001179969.1	90.77	97.87	104.64	158.29	159.4	158.64
NM_001179970.1	21.43	21.35	19.11	24.38	25.7	24.95
NM_001179971.1	87.72	108.3	100.93	146.08	140.19	140.61
NM_001179972.1	6.86	7.58	8.75	10.14	9.56	11.11
NM_001179973.1	6.16	7.45	5.3	8.25	7.18	7.19
NM_001179974.1	184.77	179.99	201.62	243.61	238.49	249.8
NM_001179975.1	115.64	125.0	124.59	177.08	168.81	168.2
NM_001179976.1	15.92	19.01	22.22	29.76	27.63	25.23
NM_001179977.1	0.32	0.23	0.34	0.26	0.35	0.36
NM_001179978.1	31.13	33.23	35.1	32.72	31.44	35.24
NM_001179979.2	13.5	17.52	16.08	21.16	23.47	19.85
NM_001179980.1	7.34	9.07	6.99	9.52	8.96	8.47
NM_001179981.1	48.44	58.87	41.08	56.66	43.78	47.45
NM_001179982.1	2.2	1.63	0.93	2.38	2.23	1.91
NM_001179983.1	15.27	15.85	16.92	15.52	16.99	18.12
NM_001179984.2	27.01	31.6	27.61	31.09	28.42	34.33
NM_001179986.1	17.95	18.37	18.6	21.87	20.7	20.95
NM_001179987.3	1.88	1.9	2.1	1.68	1.93	1.55
NM_001179988.1	0.43	0.45	0.25	0.31	0.5	0.46
NM_001179990.1	16.08	16.97	20.46	19.27	20.06	21.04
NM_001179991.3	0.05	0.0	0.17	0.09	0.2	0.0
NM_001179992.1	4.93	5.73	7.49	7.1	7.33	7.29
NM_001179993.3	38.26	44.47	50.59	43.12	45.66	45.63
NM_001179994.1	10.07	9.21	9.26	9.66	11.29	13.11
NM_001179995.3	27.38	29.3	30.14	26.76	23.47	30.14
NM_001179996.2	12.38	15.66	15.15	16.36	13.77	12.84
NM_001179997.1	0.16	0.18	0.17	0.84	0.84	1.0
NM_001179998.3	9.22	13.23	10.94	13.32	14.71	12.93
NM_001179999.1	39.06	38.91	33.76	34.52	32.19	35.97
NM_001180000.3	0.11	0.14	0.17	0.09	0.1	0.09
NM_001180001.1	8.15	8.35	8.59	8.29	7.28	8.56
NM_001180002.3	104.23	110.19	100.85	110.59	102.85	105.0
NM_001180003.1	24.97	28.58	24.5	29.32	28.57	27.78
NM_001180004.3	19.56	19.23	18.94	17.9	16.84	20.58
NM_001180005.2	32.53	32.46	41.08	38.93	36.45	40.62
NM_001180006.3	18.17	21.31	29.04	16.67	16.14	19.31
NM_001180007.1	11.79	12.05	15.07	15.34	17.28	16.39
NM_001180008.3	8.52	7.36	5.56	7.54	7.63	6.65
NM_001180009.1	303.08	305.48	326.12	413.5	386.99	429.03
NM_001180010.3	5.09	6.77	6.48	7.01	5.6	6.01
NM_001180011.1	4.34	5.73	5.05	5.91	4.61	4.92
NM_001180012.3	36.76	40.36	42.76	42.51	45.66	45.08
NM_001180013.1	15.75	19.1	17.09	19.05	18.52	18.58
NM_001180014.3	22.4	22.89	21.47	22.4	21.49	19.4
NM_001180015.1	123.36	125.68	134.52	164.38	168.32	162.56
NM_001180016.3	126.14	127.17	123.75	122.75	130.83	135.51
NM_001180017.1	99.62	103.2	109.44	138.36	149.99	136.6
NM_001180018.3	42.76	53.27	45.46	66.18	66.46	67.94
NM_001180021.1	74.06	80.22	69.11	98.02	94.78	95.99
NM_001180022.3	0.0	0.0	0.0	0.0	0.0	0.0
NM_001180023.1	0.21	0.23	0.51	0.22	0.2	0.18
NM_001180024.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001180025.1	747.63	794.57	886.02	777.45	866.49	1048.02
NM_001180026.1	0.05	0.0	0.0	0.0	0.0	0.0
NM_001180027.1	180.48	188.02	175.02	226.11	200.11	176.31
NM_001180028.3	13.08	11.2	10.02	15.21	14.01	8.2
NM_001180029.1	135.25	154.53	128.8	145.07	148.46	109.1
NM_001180030.3	2769.71	2742.0	2690.98	2528.78	2573.08	2685.44
NM_001180031.1	78.45	77.38	75.68	82.37	82.45	81.6
NM_001180032.3	61.68	61.21	62.8	61.82	56.55	58.92
NM_001180033.1	105.99	113.76	123.83	117.07	117.71	127.22
NM_001180034.1	2.79	2.62	2.78	2.56	2.23	3.73
NM_001180035.1	0.48	0.41	0.67	1.41	1.24	0.82
NM_001180036.1	906.46	889.14	850.83	826.17	826.83	799.31
NM_001180041.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001180042.1	0.0	0.0	0.08	0.04	0.0	0.0
NM_001180043.1	0.0	0.0	0.08	0.0	0.1	0.0
NM_001180045.1	5.41	3.61	5.14	2.25	1.78	3.64
NM_001180047.1	129.57	140.08	115.16	151.99	169.11	153.45
NM_001180048.2	132.84	141.93	117.43	153.31	170.45	155.64
NM_001180049.1	0.16	0.27	0.25	0.18	0.1	0.09
NM_001180050.2	0.7	1.22	1.35	0.71	0.89	1.09
NM_001180052.1	0.0	0.05	0.08	0.13	0.0	0.0
NM_001180053.1	0.0	0.0	0.0	0.0	0.0	0.0
NM_001180054.1	0.11	0.09	0.08	0.04	0.1	0.18
NM_001180055.1	6.16	4.65	5.72	3.22	2.72	3.1
NM_001180056.2	9.65	7.54	9.18	5.6	5.1	5.56
NM_001180057.1	1531.6	1514.87	1368.22	1636.95	1643.95	1432.15
NM_001180058.2	35.37	34.81	28.87	32.01	33.23	28.14
NM_001180059.1	38.96	39.73	40.91	56.26	51.5	48.36
NM_001180060.3	14.47	16.12	14.31	15.79	16.39	16.39
NM_001180061.3	15.11	17.24	16.75	16.8	15.3	14.39
NM_001180062.1	29.2	33.5	34.51	46.25	41.99	46.17
NM_001180063.1	76.04	84.33	75.93	75.62	79.58	67.21
NM_001180064.3	22.02	21.35	25.09	21.74	19.26	21.31
NM_001180065.3	13.29	15.3	17.0	22.22	20.5	19.94
NM_001180066.1	142.75	165.68	165.17	272.01	249.73	253.26
NM_001180067.3	10.29	9.62	9.85	11.68	12.73	14.66
NM_001180069.1	14.09	19.5	15.91	12.79	12.13	11.66
NM_001180071.1	35.26	31.96	31.74	33.55	34.52	31.97
NM_001180072.3	11.74	11.92	12.04	15.83	13.32	15.48
NM_001180073.1	656.0	640.0	641.22	647.42	641.97	635.12
NM_001180074.1	163.33	177.37	187.98	191.8	189.71	179.59
NM_001180076.3	6.86	8.98	9.77	10.49	10.6	9.65
NM_001180077.1	17.52	16.61	18.52	16.36	15.55	14.12
NM_001180078.1	58.52	59.81	52.36	59.04	55.12	56.19
NM_001180079.3	50.48	50.38	48.66	66.67	66.6	66.94
NM_001180080.1	4.18	4.2	4.55	2.34	2.92	2.55
NM_001180081.1	176.14	188.97	160.96	235.5	226.35	201.72
NM_001180083.1	0.48	0.59	1.01	0.66	0.79	0.55
NM_001180084.1	16.24	15.21	12.54	14.02	14.36	14.3
NM_001180086.1	5.63	6.41	8.33	7.54	7.48	6.65
NM_001180087.2	15.22	15.98	13.72	19.49	17.23	15.12
NM_001180088.1	120.41	126.94	128.21	149.48	139.99	143.16
NM_001180089.1	11.9	13.54	14.9	16.18	14.26	17.03
NM_001180090.2	123.89	135.97	132.25	132.94	131.33	130.05
NM_001180092.1	3.27	3.48	3.7	3.88	3.66	4.37
NM_001180094.1	18.97	21.58	19.19	19.09	18.62	20.22
NM_001180095.1	14.79	13.9	14.48	15.17	13.47	12.75
NM_001180096.1	0.0	0.0	0.08	0.04	0.15	0.0
NM_001180098.1	0.05	0.14	0.0	0.49	1.09	0.36
